name,latitude,longitude
Baghdad,33.34058,44.400879
Riyadh,24.687731,46.721851
Tehran,35.694389,51.421509
Bucharest,44.432251,26.10626
Sofia,42.69751,23.32415
Istanbul,41.01384,28.949659
Warsaw,52.229771,21.01178
Belgrade,44.804008,20.46513
Johannesburg,-26.202271,28.043631
Rawalpindi,33.6007,73.067902
Faisalabad,31.41667,73.083328
Dhaka,23.7104,90.40744
Wellington,11.36667,76.800003
Patna,25.6,85.116669
New Delhi,28.61282,77.23114
Kanpur,26.466667,80.349998
Jodhpur,26.286667,73.029999
Gaya,24.783333,85
Delhi,28.666668,77.216667
Mumbai,19.01441,72.847939
Agra,27.183332,78.01667
Kathmandu,27.716667,85.316666
Omsk,55,73.400002
Norilsk,69.3535,88.202698
Kemerovo,55.333328,86.083328
Bangkok,13.87719,100.71991
Jakarta,-6.21462,106.845131
Santiago,17.2939,120.444901
Madrid,9.26211,125.964371
Los Angeles,9.0125,125.608063
Kuala Lumpur,3.14309,101.686531
Xi'an,34.258331,108.928612
Tianjin,39.14222,117.176666
Shijiazhuang,38.575352,112.01593
Lanzhou,36.056389,103.792221
Incheon,37.450001,126.416107
Ulan-Ude,51.82605,107.609787
Shenyang,41.792221,123.432777
Sydney,-33.867851,151.207321
Denver,-37.26667,144.300003
Bamenda,5.95266,10.15824
Lisbon,38.716671,-9.13333
Banff,57.664768,-2.52964
Stockholm,59.5,18
Paris,48.853401,2.3486
Marseille,43.296951,5.38107
Prague,50.088039,14.42076
Katowice,50.258419,19.02754
Vicenza,45.557289,11.5409
Turin,45.070492,7.68682
Piacenza,45.046761,9.69937
Slavonski Brod,45.160278,18.01556
Cape Town,-33.925838,18.42322
Buenos Aires,-36,-60
Toluca,19.28833,-99.667221
Mexico City,19.428471,-99.127663
Chicago,17.799999,-88.300003
Lima,-12.00389,-76.638893
California,38.3004,-76.507446
Vancouver,45.638729,-122.661491
